coverageID,westernmost_longitude,easternmost_longitude,minimum_latitude,maximum_latitude,width,height,SubsetNumber,ResolMin,ResolMax,Access,Preview,FirstFrame,LastFrame,StartTime,EndTime,CreationTime,PolygonSubset,SubsetLonMin,SubsetLatMin,SubsetLonMax,SubsetLatMax,subsetHeight,filename,uid
M3G20090104T161446,59.924,62.143,-44.671,15.513,601,16063,0,0.004976694955992537,0.005271232972763314,"http://moon.planetserver.eu:8080/rasdaman/ows?&SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=M3G20090104T161446&FORMAT=image/tiff&subset=N(-1355055.2732315625,-1247677.898614203)",http://moon.planetserver.eu:8080/rasdaman/ows?service=WCS&version=2.0.1&request=ProcessCoverages&query=for%20data%20in%20(%20M3G20090104T161446%20)%20return%20encode(%20%7B%20red%3A%20(float)(((int)(255%20%2F%20(max((data).band_10)%20-%20min((data).band_10)))%20*%20((data).band_10%20-%20min((data).band_10))))%5BN(%20-1355055.2732315625%3A-1247677.898614203%20)%5D%3B%20green%3A%20(float)(((int)(255%20%2F%20(max((data).band_13)%20-%20min((data).band_13)))%20*%20((data).band_13%20-%20min((data).band_13))))%5BN(%20-1355055.2732315625%3A-1247677.898614203%20)%5D%3B%20blue%3A%20(float)(((int)(255%20%2F%20(max((data).band_78)%20-%20min((data).band_78)))%20*%20((data).band_78%20-%20min((data).band_78))))%5BN(%20-1355055.2732315625%3A-1247677.898614203%20)%5D%20%3B%20alpha%3A%20(float)((((data).band_85%20%3E%200)%20*%20255))%5BN(%20-1355055.2732315625%3A-1247677.898614203%20)%5D%7D%2C%20%22png%22%2C%20%22nodata%3D65535%22),0,944,2009-01-04T16:14:46.334139,2009-01-04T16:15:56.446786,2011-08-31T08:37:51,Polygon UNKNOWNFrame 62.02893378194119 -41.13407065927909 62.053 -44.663 61.826 -44.668 61.607 -44.671 61.391 -44.671 61.174 -44.669 60.957 -44.664 60.739 -44.657 60.521 -44.647 60.297 -44.635 60.076 -44.62 59.924 -44.609 60.010627788118356 -41.13407065927909 62.02893378194119 -41.13407065927909,59.924,-44.671,62.143,-41.13407065927909,944,,M3G20090104T161446_0
M3G20090104T161446,59.924,62.143,-44.671,15.513,601,16063,1,0.004730437649421262,0.004976694955992537,"http://moon.planetserver.eu:8080/rasdaman/ows?&SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=M3G20090104T161446&FORMAT=image/tiff&subset=N(-1247677.898614203,-1140300.5239968435)",http://moon.planetserver.eu:8080/rasdaman/ows?service=WCS&version=2.0.1&request=ProcessCoverages&query=for%20data%20in%20(%20M3G20090104T161446%20)%20return%20encode(%20%7B%20red%3A%20(float)(((int)(255%20%2F%20(max((data).band_10)%20-%20min((data).band_10)))%20*%20((data).band_10%20-%20min((data).band_10))))%5BN(%20-1247677.898614203%3A-1140300.5239968435%20)%5D%3B%20green%3A%20(float)(((int)(255%20%2F%20(max((data).band_13)%20-%20min((data).band_13)))%20*%20((data).band_13%20-%20min((data).band_13))))%5BN(%20-1247677.898614203%3A-1140300.5239968435%20)%5D%3B%20blue%3A%20(float)(((int)(255%20%2F%20(max((data).band_78)%20-%20min((data).band_78)))%20*%20((data).band_78%20-%20min((data).band_78))))%5BN(%20-1247677.898614203%3A-1140300.5239968435%20)%5D%20%3B%20alpha%3A%20(float)((((data).band_85%20%3E%200)%20*%20255))%5BN(%20-1247677.898614203%3A-1140300.5239968435%20)%5D%7D%2C%20%22png%22%2C%20%22nodata%3D65535%22),944,1889,2009-01-04T16:15:56.548546,2009-01-04T16:17:06.661192,2011-08-31T08:37:51,Polygon UNKNOWNFrame 62.006720771570926 -37.59339457137521 62.012 -38.651 62.02893378194119 -41.13407065927909 60.010627788118356 -41.13407065927909 60.074 -38.592 60.0912631257608 -37.59339457137521 62.006720771570926 -37.59339457137521,59.924,-41.13407065927909,62.143,-37.59339457137521,945,,M3G20090104T161446_1
M3G20090104T161446,59.924,62.143,-44.671,15.513,601,16063,2,0.004523861647376513,0.004730437649421262,"http://moon.planetserver.eu:8080/rasdaman/ows?&SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=M3G20090104T161446&FORMAT=image/tiff&subset=N(-1140300.5239968435,-1032923.1493794841)",http://moon.planetserver.eu:8080/rasdaman/ows?service=WCS&version=2.0.1&request=ProcessCoverages&query=for%20data%20in%20(%20M3G20090104T161446%20)%20return%20encode(%20%7B%20red%3A%20(float)(((int)(255%20%2F%20(max((data).band_10)%20-%20min((data).band_10)))%20*%20((data).band_10%20-%20min((data).band_10))))%5BN(%20-1140300.5239968435%3A-1032923.1493794841%20)%5D%3B%20green%3A%20(float)(((int)(255%20%2F%20(max((data).band_13)%20-%20min((data).band_13)))%20*%20((data).band_13%20-%20min((data).band_13))))%5BN(%20-1140300.5239968435%3A-1032923.1493794841%20)%5D%3B%20blue%3A%20(float)(((int)(255%20%2F%20(max((data).band_78)%20-%20min((data).band_78)))%20*%20((data).band_78%20-%20min((data).band_78))))%5BN(%20-1140300.5239968435%3A-1032923.1493794841%20)%5D%20%3B%20alpha%3A%20(float)((((data).band_85%20%3E%200)%20*%20255))%5BN(%20-1140300.5239968435%3A-1032923.1493794841%20)%5D%7D%2C%20%22png%22%2C%20%22nodata%3D65535%22),1889,2834,2009-01-04T16:17:06.762952,2009-01-04T16:18:16.875598,2011-08-31T08:37:51,Polygon UNKNOWNFrame 61.98904684767124 -34.05271848347133 62.006720771570926 -37.59339457137521 60.0912631257608 -37.59339457137521 60.15247162196126 -34.05271848347133 61.98904684767124 -34.05271848347133,59.924,-37.59339457137521,62.143,-34.05271848347133,945,,M3G20090104T161446_2
M3G20090104T161446,59.924,62.143,-44.671,15.513,601,16063,3,0.004350489934874654,0.004523861647376513,"http://moon.planetserver.eu:8080/rasdaman/ows?&SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=M3G20090104T161446&FORMAT=image/tiff&subset=N(-1032923.1493794841,-925545.7747621245)",http://moon.planetserver.eu:8080/rasdaman/ows?service=WCS&version=2.0.1&request=ProcessCoverages&query=for%20data%20in%20(%20M3G20090104T161446%20)%20return%20encode(%20%7B%20red%3A%20(float)(((int)(255%20%2F%20(max((data).band_10)%20-%20min((data).band_10)))%20*%20((data).band_10%20-%20min((data).band_10))))%5BN(%20-1032923.1493794841%3A-925545.7747621245%20)%5D%3B%20green%3A%20(float)(((int)(255%20%2F%20(max((data).band_13)%20-%20min((data).band_13)))%20*%20((data).band_13%20-%20min((data).band_13))))%5BN(%20-1032923.1493794841%3A-925545.7747621245%20)%5D%3B%20blue%3A%20(float)(((int)(255%20%2F%20(max((data).band_78)%20-%20min((data).band_78)))%20*%20((data).band_78%20-%20min((data).band_78))))%5BN(%20-1032923.1493794841%3A-925545.7747621245%20)%5D%20%3B%20alpha%3A%20(float)((((data).band_85%20%3E%200)%20*%20255))%5BN(%20-1032923.1493794841%3A-925545.7747621245%20)%5D%7D%2C%20%22png%22%2C%20%22nodata%3D65535%22),2834,3779,2009-01-04T16:18:16.977358,2009-01-04T16:19:27.090005,2011-08-31T08:37:51,Polygon UNKNOWNFrame 61.982 -30.512042395567452 61.982 -32.641 61.98904684767124 -34.05271848347133 60.15247162196126 -34.05271848347133 60.178 -32.576 60.20373513222484 -30.512042395567452 61.982 -30.512042395567452,59.924,-34.05271848347133,62.143,-30.512042395567452,945,,M3G20090104T161446_3
M3G20090104T161446,59.924,62.143,-44.671,15.513,601,16063,4,0.004205381656859232,0.004350489934874654,"http://moon.planetserver.eu:8080/rasdaman/ows?&SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=M3G20090104T161446&FORMAT=image/tiff&subset=N(-925545.7747621245,-818168.4001447652)",http://moon.planetserver.eu:8080/rasdaman/ows?service=WCS&version=2.0.1&request=ProcessCoverages&query=for%20data%20in%20(%20M3G20090104T161446%20)%20return%20encode(%20%7B%20red%3A%20(float)(((int)(255%20%2F%20(max((data).band_10)%20-%20min((data).band_10)))%20*%20((data).band_10%20-%20min((data).band_10))))%5BN(%20-925545.7747621245%3A-818168.4001447652%20)%5D%3B%20green%3A%20(float)(((int)(255%20%2F%20(max((data).band_13)%20-%20min((data).band_13)))%20*%20((data).band_13%20-%20min((data).band_13))))%5BN(%20-925545.7747621245%3A-818168.4001447652%20)%5D%3B%20blue%3A%20(float)(((int)(255%20%2F%20(max((data).band_78)%20-%20min((data).band_78)))%20*%20((data).band_78%20-%20min((data).band_78))))%5BN(%20-925545.7747621245%3A-818168.4001447652%20)%5D%20%3B%20alpha%3A%20(float)((((data).band_85%20%3E%200)%20*%20255))%5BN(%20-925545.7747621245%3A-818168.4001447652%20)%5D%7D%2C%20%22png%22%2C%20%22nodata%3D65535%22),3779,4724,2009-01-04T16:19:27.191765,2009-01-04T16:20:37.304411,2011-08-31T08:37:51,Polygon UNKNOWNFrame 61.982 -26.971366307663573 61.982 -30.512042395567452 60.20373513222484 -30.512042395567452 60.247883213121405 -26.971366307663573 61.982 -26.971366307663573,59.924,-30.512042395567452,62.143,-26.971366307663573,945,,M3G20090104T161446_4
M3G20090104T161446,59.924,62.143,-44.671,15.513,601,16063,5,0.004084734874158891,0.004205381656859232,"http://moon.planetserver.eu:8080/rasdaman/ows?&SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=M3G20090104T161446&FORMAT=image/tiff&subset=N(-818168.4001447652,-710791.0255274057)",http://moon.planetserver.eu:8080/rasdaman/ows?service=WCS&version=2.0.1&request=ProcessCoverages&query=for%20data%20in%20(%20M3G20090104T161446%20)%20return%20encode(%20%7B%20red%3A%20(float)(((int)(255%20%2F%20(max((data).band_10)%20-%20min((data).band_10)))%20*%20((data).band_10%20-%20min((data).band_10))))%5BN(%20-818168.4001447652%3A-710791.0255274057%20)%5D%3B%20green%3A%20(float)(((int)(255%20%2F%20(max((data).band_13)%20-%20min((data).band_13)))%20*%20((data).band_13%20-%20min((data).band_13))))%5BN(%20-818168.4001447652%3A-710791.0255274057%20)%5D%3B%20blue%3A%20(float)(((int)(255%20%2F%20(max((data).band_78)%20-%20min((data).band_78)))%20*%20((data).band_78%20-%20min((data).band_78))))%5BN(%20-818168.4001447652%3A-710791.0255274057%20)%5D%20%3B%20alpha%3A%20(float)((((data).band_85%20%3E%200)%20*%20255))%5BN(%20-818168.4001447652%3A-710791.0255274057%20)%5D%7D%2C%20%22png%22%2C%20%22nodata%3D65535%22),4724,5668,2009-01-04T16:20:37.406171,2009-01-04T16:21:47.620578,2011-08-31T08:37:51,Polygon UNKNOWNFrame 61.97295663645166 -23.434436966942663 61.982 -26.631 61.982 -26.971366307663573 60.247883213121405 -26.971366307663573 60.253 -26.561 60.296669985829205 -23.434436966942663 61.97295663645166 -23.434436966942663,59.924,-26.971366307663573,62.143,-23.434436966942663,944,,M3G20090104T161446_5
M3G20090104T161446,59.924,62.143,-44.671,15.513,601,16063,6,0.003985611872895712,0.004084734874158891,"http://moon.planetserver.eu:8080/rasdaman/ows?&SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=M3G20090104T161446&FORMAT=image/tiff&subset=N(-710791.0255274057,-603413.6509100462)",http://moon.planetserver.eu:8080/rasdaman/ows?service=WCS&version=2.0.1&request=ProcessCoverages&query=for%20data%20in%20(%20M3G20090104T161446%20)%20return%20encode(%20%7B%20red%3A%20(float)(((int)(255%20%2F%20(max((data).band_10)%20-%20min((data).band_10)))%20*%20((data).band_10%20-%20min((data).band_10))))%5BN(%20-710791.0255274057%3A-603413.6509100462%20)%5D%3B%20green%3A%20(float)(((int)(255%20%2F%20(max((data).band_13)%20-%20min((data).band_13)))%20*%20((data).band_13%20-%20min((data).band_13))))%5BN(%20-710791.0255274057%3A-603413.6509100462%20)%5D%3B%20blue%3A%20(float)(((int)(255%20%2F%20(max((data).band_78)%20-%20min((data).band_78)))%20*%20((data).band_78%20-%20min((data).band_78))))%5BN(%20-710791.0255274057%3A-603413.6509100462%20)%5D%20%3B%20alpha%3A%20(float)((((data).band_85%20%3E%200)%20*%20255))%5BN(%20-710791.0255274057%3A-603413.6509100462%20)%5D%7D%2C%20%22png%22%2C%20%22nodata%3D65535%22),5668,6613,2009-01-04T16:21:47.722337,2009-01-04T16:22:57.834984,2011-08-31T08:37:51,Polygon UNKNOWNFrame 61.96778740219373 -19.893760879038783 61.965 -20.622 61.97295663645166 -23.434436966942663 60.296669985829205 -23.434436966942663 60.337 -20.547 60.3438430436682 -19.893760879038783 61.96778740219373 -19.893760879038783,59.924,-23.434436966942663,62.143,-19.893760879038783,945,,M3G20090104T161446_6
M3G20090104T161446,59.924,62.143,-44.671,15.513,601,16063,7,0.003905746249951253,0.003985611872895712,"http://moon.planetserver.eu:8080/rasdaman/ows?&SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=M3G20090104T161446&FORMAT=image/tiff&subset=N(-603413.6509100462,-496036.2762926867)",http://moon.planetserver.eu:8080/rasdaman/ows?service=WCS&version=2.0.1&request=ProcessCoverages&query=for%20data%20in%20(%20M3G20090104T161446%20)%20return%20encode(%20%7B%20red%3A%20(float)(((int)(255%20%2F%20(max((data).band_10)%20-%20min((data).band_10)))%20*%20((data).band_10%20-%20min((data).band_10))))%5BN(%20-603413.6509100462%3A-496036.2762926867%20)%5D%3B%20green%3A%20(float)(((int)(255%20%2F%20(max((data).band_13)%20-%20min((data).band_13)))%20*%20((data).band_13%20-%20min((data).band_13))))%5BN(%20-603413.6509100462%3A-496036.2762926867%20)%5D%3B%20blue%3A%20(float)(((int)(255%20%2F%20(max((data).band_78)%20-%20min((data).band_78)))%20*%20((data).band_78%20-%20min((data).band_78))))%5BN(%20-603413.6509100462%3A-496036.2762926867%20)%5D%20%3B%20alpha%3A%20(float)((((data).band_85%20%3E%200)%20*%20255))%5BN(%20-603413.6509100462%3A-496036.2762926867%20)%5D%7D%2C%20%22png%22%2C%20%22nodata%3D65535%22),6613,7558,2009-01-04T16:22:57.936744,2009-01-04T16:24:08.049390,2011-08-31T08:37:51,Polygon UNKNOWNFrame 61.981339665469115 -16.353084791134904 61.96778740219373 -19.893760879038783 60.3438430436682 -19.893760879038783 60.3809335979645 -16.353084791134904 61.981339665469115 -16.353084791134904,59.924,-19.893760879038783,62.143,-16.353084791134904,945,,M3G20090104T161446_7
M3G20090104T161446,59.924,62.143,-44.671,15.513,601,16063,8,0.0038434060889273045,0.003905746249951253,"http://moon.planetserver.eu:8080/rasdaman/ows?&SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=M3G20090104T161446&FORMAT=image/tiff&subset=N(-496036.2762926867,-388658.9016753272)",http://moon.planetserver.eu:8080/rasdaman/ows?service=WCS&version=2.0.1&request=ProcessCoverages&query=for%20data%20in%20(%20M3G20090104T161446%20)%20return%20encode(%20%7B%20red%3A%20(float)(((int)(255%20%2F%20(max((data).band_10)%20-%20min((data).band_10)))%20*%20((data).band_10%20-%20min((data).band_10))))%5BN(%20-496036.2762926867%3A-388658.9016753272%20)%5D%3B%20green%3A%20(float)(((int)(255%20%2F%20(max((data).band_13)%20-%20min((data).band_13)))%20*%20((data).band_13%20-%20min((data).band_13))))%5BN(%20-496036.2762926867%3A-388658.9016753272%20)%5D%3B%20blue%3A%20(float)(((int)(255%20%2F%20(max((data).band_78)%20-%20min((data).band_78)))%20*%20((data).band_78%20-%20min((data).band_78))))%5BN(%20-496036.2762926867%3A-388658.9016753272%20)%5D%20%3B%20alpha%3A%20(float)((((data).band_85%20%3E%200)%20*%20255))%5BN(%20-496036.2762926867%3A-388658.9016753272%20)%5D%7D%2C%20%22png%22%2C%20%22nodata%3D65535%22),7558,8503,2009-01-04T16:24:08.151150,2009-01-04T16:25:18.263797,2011-08-31T08:37:51,Polygon UNKNOWNFrame 61.99668837730554 -12.812408703231029 61.988 -14.613 61.981339665469115 -16.353084791134904 60.3809335979645 -16.353084791134904 60.4 -14.533 60.40571910020532 -12.812408703231029 61.99668837730554 -12.812408703231029,59.924,-16.353084791134904,62.143,-12.812408703231029,945,,M3G20090104T161446_8
M3G20090104T161446,59.924,62.143,-44.671,15.513,601,16063,9,0.0037972967129982138,0.0038434060889273045,"http://moon.planetserver.eu:8080/rasdaman/ows?&SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=M3G20090104T161446&FORMAT=image/tiff&subset=N(-388658.9016753272,-281281.52705796785)",http://moon.planetserver.eu:8080/rasdaman/ows?service=WCS&version=2.0.1&request=ProcessCoverages&query=for%20data%20in%20(%20M3G20090104T161446%20)%20return%20encode(%20%7B%20red%3A%20(float)(((int)(255%20%2F%20(max((data).band_10)%20-%20min((data).band_10)))%20*%20((data).band_10%20-%20min((data).band_10))))%5BN(%20-388658.9016753272%3A-281281.52705796785%20)%5D%3B%20green%3A%20(float)(((int)(255%20%2F%20(max((data).band_13)%20-%20min((data).band_13)))%20*%20((data).band_13%20-%20min((data).band_13))))%5BN(%20-388658.9016753272%3A-281281.52705796785%20)%5D%3B%20blue%3A%20(float)(((int)(255%20%2F%20(max((data).band_78)%20-%20min((data).band_78)))%20*%20((data).band_78%20-%20min((data).band_78))))%5BN(%20-388658.9016753272%3A-281281.52705796785%20)%5D%20%3B%20alpha%3A%20(float)((((data).band_85%20%3E%200)%20*%20255))%5BN(%20-388658.9016753272%3A-281281.52705796785%20)%5D%7D%2C%20%22png%22%2C%20%22nodata%3D65535%22),8503,9448,2009-01-04T16:25:18.365557,2009-01-04T16:26:28.478203,2011-08-31T08:37:51,Polygon UNKNOWNFrame 62.01377317040858 -9.271732615327146 61.99668837730554 -12.812408703231029 60.40571910020532 -12.812408703231029 60.417488008591235 -9.271732615327146 62.01377317040858 -9.271732615327146,59.924,-12.812408703231029,62.143,-9.271732615327146,945,,M3G20090104T161446_9
M3G20090104T161446,59.924,62.143,-44.671,15.513,601,16063,10,0.003766492254461377,0.0037972967129982138,"http://moon.planetserver.eu:8080/rasdaman/ows?&SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=M3G20090104T161446&FORMAT=image/tiff&subset=N(-281281.52705796785,-173904.15244060825)",http://moon.planetserver.eu:8080/rasdaman/ows?service=WCS&version=2.0.1&request=ProcessCoverages&query=for%20data%20in%20(%20M3G20090104T161446%20)%20return%20encode(%20%7B%20red%3A%20(float)(((int)(255%20%2F%20(max((data).band_10)%20-%20min((data).band_10)))%20*%20((data).band_10%20-%20min((data).band_10))))%5BN(%20-281281.52705796785%3A-173904.15244060825%20)%5D%3B%20green%3A%20(float)(((int)(255%20%2F%20(max((data).band_13)%20-%20min((data).band_13)))%20*%20((data).band_13%20-%20min((data).band_13))))%5BN(%20-281281.52705796785%3A-173904.15244060825%20)%5D%3B%20blue%3A%20(float)(((int)(255%20%2F%20(max((data).band_78)%20-%20min((data).band_78)))%20*%20((data).band_78%20-%20min((data).band_78))))%5BN(%20-281281.52705796785%3A-173904.15244060825%20)%5D%20%3B%20alpha%3A%20(float)((((data).band_85%20%3E%200)%20*%20255))%5BN(%20-281281.52705796785%3A-173904.15244060825%20)%5D%7D%2C%20%22png%22%2C%20%22nodata%3D65535%22),9448,10393,2009-01-04T16:26:28.579963,2009-01-04T16:27:38.692609,2011-08-31T08:37:51,Polygon UNKNOWNFrame 62.016522377603096 -5.73105652742327 62.017 -8.603 62.01377317040858 -9.271732615327146 60.417488008591235 -9.271732615327146 60.42 -8.516 60.44777536708022 -5.73105652742327 62.016522377603096 -5.73105652742327,59.924,-9.271732615327146,62.143,-5.73105652742327,945,,M3G20090104T161446_10
M3G20090104T161446,59.924,62.143,-44.671,15.513,601,16063,11,0.003750389012870763,0.003766492254461377,"http://moon.planetserver.eu:8080/rasdaman/ows?&SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=M3G20090104T161446&FORMAT=image/tiff&subset=N(-173904.15244060825,-66526.77782324888)",http://moon.planetserver.eu:8080/rasdaman/ows?service=WCS&version=2.0.1&request=ProcessCoverages&query=for%20data%20in%20(%20M3G20090104T161446%20)%20return%20encode(%20%7B%20red%3A%20(float)(((int)(255%20%2F%20(max((data).band_10)%20-%20min((data).band_10)))%20*%20((data).band_10%20-%20min((data).band_10))))%5BN(%20-173904.15244060825%3A-66526.77782324888%20)%5D%3B%20green%3A%20(float)(((int)(255%20%2F%20(max((data).band_13)%20-%20min((data).band_13)))%20*%20((data).band_13%20-%20min((data).band_13))))%5BN(%20-173904.15244060825%3A-66526.77782324888%20)%5D%3B%20blue%3A%20(float)(((int)(255%20%2F%20(max((data).band_78)%20-%20min((data).band_78)))%20*%20((data).band_78%20-%20min((data).band_78))))%5BN(%20-173904.15244060825%3A-66526.77782324888%20)%5D%20%3B%20alpha%3A%20(float)((((data).band_85%20%3E%200)%20*%20255))%5BN(%20-173904.15244060825%3A-66526.77782324888%20)%5D%7D%2C%20%22png%22%2C%20%22nodata%3D65535%22),10393,11337,2009-01-04T16:27:38.794369,2009-01-04T16:28:49.008776,2011-08-31T08:37:51,Polygon UNKNOWNFrame 62.01758006777301 -2.19412718670236 62.016 -2.59 62.016522377603096 -5.73105652742327 60.44777536708022 -5.73105652742327 60.48 -2.5 60.48203305292986 -2.19412718670236 62.01758006777301 -2.19412718670236,59.924,-5.73105652742327,62.143,-2.19412718670236,944,,M3G20090104T161446_11
M3G20090104T161446,59.924,62.143,-44.671,15.513,601,16063,12,0.0037476399377852536,0.003750389012870763,"http://moon.planetserver.eu:8080/rasdaman/ows?&SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=M3G20090104T161446&FORMAT=image/tiff&subset=N(-66526.77782324888,40850.59679411072)",http://moon.planetserver.eu:8080/rasdaman/ows?service=WCS&version=2.0.1&request=ProcessCoverages&query=for%20data%20in%20(%20M3G20090104T161446%20)%20return%20encode(%20%7B%20red%3A%20(float)(((int)(255%20%2F%20(max((data).band_10)%20-%20min((data).band_10)))%20*%20((data).band_10%20-%20min((data).band_10))))%5BN(%20-66526.77782324888%3A40850.59679411072%20)%5D%3B%20green%3A%20(float)(((int)(255%20%2F%20(max((data).band_13)%20-%20min((data).band_13)))%20*%20((data).band_13%20-%20min((data).band_13))))%5BN(%20-66526.77782324888%3A40850.59679411072%20)%5D%3B%20blue%3A%20(float)(((int)(255%20%2F%20(max((data).band_78)%20-%20min((data).band_78)))%20*%20((data).band_78%20-%20min((data).band_78))))%5BN(%20-66526.77782324888%3A40850.59679411072%20)%5D%20%3B%20alpha%3A%20(float)((((data).band_85%20%3E%200)%20*%20255))%5BN(%20-66526.77782324888%3A40850.59679411072%20)%5D%7D%2C%20%22png%22%2C%20%22nodata%3D65535%22),11337,12282,2009-01-04T16:28:49.110536,2009-01-04T16:29:59.223182,2011-08-31T08:37:51,Polygon UNKNOWNFrame 62.03171215260749 1.3465489012015226 62.01758006777301 -2.19412718670236 60.48203305292986 -2.19412718670236 60.50556695846595 1.3465489012015226 62.03171215260749 1.3465489012015226,59.924,-2.19412718670236,62.143,1.3465489012015226,945,,M3G20090104T161446_12
M3G20090104T161446,59.924,62.143,-44.671,15.513,601,16063,13,0.003748676093650873,0.0037613206154151727,"http://moon.planetserver.eu:8080/rasdaman/ows?&SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=M3G20090104T161446&FORMAT=image/tiff&subset=N(40850.59679411072,148227.9714114701)",http://moon.planetserver.eu:8080/rasdaman/ows?service=WCS&version=2.0.1&request=ProcessCoverages&query=for%20data%20in%20(%20M3G20090104T161446%20)%20return%20encode(%20%7B%20red%3A%20(float)(((int)(255%20%2F%20(max((data).band_10)%20-%20min((data).band_10)))%20*%20((data).band_10%20-%20min((data).band_10))))%5BN(%2040850.59679411072%3A148227.9714114701%20)%5D%3B%20green%3A%20(float)(((int)(255%20%2F%20(max((data).band_13)%20-%20min((data).band_13)))%20*%20((data).band_13%20-%20min((data).band_13))))%5BN(%2040850.59679411072%3A148227.9714114701%20)%5D%3B%20blue%3A%20(float)(((int)(255%20%2F%20(max((data).band_78)%20-%20min((data).band_78)))%20*%20((data).band_78%20-%20min((data).band_78))))%5BN(%2040850.59679411072%3A148227.9714114701%20)%5D%20%3B%20alpha%3A%20(float)((((data).band_85%20%3E%200)%20*%20255))%5BN(%2040850.59679411072%3A148227.9714114701%20)%5D%7D%2C%20%22png%22%2C%20%22nodata%3D65535%22),12282,13227,2009-01-04T16:29:59.324942,2009-01-04T16:31:09.437588,2011-08-31T08:37:51,Polygon UNKNOWNFrame 62.04778713638879 4.887224989105398 62.04 3.423 62.03171215260749 1.3465489012015226 60.50556695846595 1.3465489012015226 60.52 3.518 60.52409334824845 4.887224989105398 62.04778713638879 4.887224989105398,59.924,1.3465489012015226,62.143,4.887224989105398,945,,M3G20090104T161446_13
M3G20090104T161446,59.924,62.143,-44.671,15.513,601,16063,14,0.0037613206154151727,0.0037885661585628358,"http://moon.planetserver.eu:8080/rasdaman/ows?&SERVICE=WCS&VERSION=2.0.1&REQUEST=GetCoverage&COVERAGEID=M3G20090104T161446&FORMAT=image/tiff&subset=N(148227.9714114701,255605.3460288297)",http://moon.planetserver.eu:8080/rasdaman/ows?service=WCS&version=2.0.1&request=ProcessCoverages&query=for%20data%20in%20(%20M3G20090104T161446%20)%20return%20encode(%20%7B%20red%3A%20(float)(((int)(255%20%2F%20(max((data).band_10)%20-%20min((data).band_10)))%20*%20((data).band_10%20-%20min((data).band_10))))%5BN(%20148227.9714114701%3A255605.3460288297%20)%5D%3B%20green%3A%20(float)(((int)(255%20%2F%20(max((data).band_13)%20-%20min((data).band_13)))%20*%20((data).band_13%20-%20min((data).band_13))))%5BN(%20148227.9714114701%3A255605.3460288297%20)%5D%3B%20blue%3A%20(float)(((int)(255%20%2F%20(max((data).band_78)%20-%20min((data).band_78)))%20*%20((data).band_78%20-%20min((data).band_78))))%5BN(%20148227.9714114701%3A255605.3460288297%20)%5D%20%3B%20alpha%3A%20(float)((((data).band_85%20%3E%200)%20*%20255))%5BN(%20148227.9714114701%3A255605.3460288297%20)%5D%7D%2C%20%22png%22%2C%20%22nodata%3D65535%22),13227,14172,2009-01-04T16:31:09.539348,2009-01-04T16:32:19.651995,2011-08-31T08:37:51,Polygon UNKNOWNFrame 62.06661738980627 8.427901077009274 62.04778713638879 4.887224989105398 60.52409334824845 4.887224989105398 60.53467832907925 8.427901077009274 62.06661738980627 8.427901077009274,59.924,4.887224989105398,62.143,8.427901077009274,945,,M3G20090104T161446_14
